,Countdown Airport,Countdown Auckland City,Countdown Aviemore Drive,Countdown Birkenhead,Countdown Blockhouse Bay,Countdown Botany Downs,Countdown Browns Bay,Countdown Glenfield,Countdown Greenlane,Countdown Grey Lynn,Countdown Grey Lynn Central,Countdown Hauraki Corner,Countdown Henderson,Countdown Highland Park,Countdown Hobsonville,Countdown Howick,Countdown Kelston,Countdown Lincoln Road,Countdown Lynfield,Countdown Lynmall,Countdown Mairangi Bay,Countdown Mangere East,Countdown Mangere Mall,Countdown Manukau,Countdown Manukau Mall,Countdown Manurewa,Countdown Meadowbank,Countdown Meadowlands,Countdown Milford,Countdown Mt Eden,Countdown Mt Roskill,Countdown Mt Wellington,Countdown Newmarket,Countdown Northcote,Countdown Northwest,Countdown Onehunga,Countdown Pakuranga,Countdown Papakura,Countdown Papatoetoe,Countdown Ponsonby,Countdown Pt Chevalier,Countdown Roselands,Countdown St Johns,Countdown St Lukes,Countdown Sunnynook,Countdown Sylvia Park,Countdown Takanini,Countdown Takapuna,Countdown Te Atatu,Countdown Te Atatu South,Countdown Three Kings,Countdown Victoria Street West,Countdown Westgate,Countdown Metro Albert Street,Countdown Metro Halsey Street,Distribution Centre Auckland,FreshChoice Glen Eden,FreshChoice Half Moon Bay,FreshChoice Mangere Bridge,FreshChoice Otahuhu,FreshChoice Ranui,SuperValue Avondale,SuperValue Flatbush,SuperValue Palomino,SuperValue Papakura,SuperValue Titirangi
Countdown Papatoetoe,1149.16,1531.29,1512.95,1943.65,1820.3,1036.36,2958.58,2301.43,1023.08,1651.34,1650.01,2166.47,2465.2,1501.7,2756.08,1557.24,2392.02,2234.81,1627.46,1952.03,2578.72,587.87,877.64,430.47,453.7,899.44,1357.5,1315.54,2354.4,1427.99,1612.83,811.72,1332.95,1932.72,2373.99,1299.17,1228.14,1385.53,0,1518.92,1653.28,1258.43,1372.12,1732.29,2283.21,741.94,1057.11,2028.59,2309.24,2059.04,1463.6,1474.47,2408.93,1590.74,1690.19,839.32,2494.42,1523.06,1001.81,610.93,2609.87,1933.43,487.62,2662.61,1423.38,2231.16
Countdown Ponsonby,1778.06,812.44,1857.88,819.62,1210.6,1790.9,1834.55,1177.4,724.38,235.95,128.64,1042.44,1396.99,1888.13,1808.46,2223.1,1323.81,1166.6,1146.51,1111.37,1454.69,1638.54,1745.75,1580.63,1630.76,2140,1088.33,2040.3,1230.37,481.47,824.63,1110.25,487.62,808.69,1305.78,1228.24,1384.98,2419.56,1526.74,0,504.76,2292.46,1576.19,518.91,1159.18,1040.47,2091.14,904.55,1241.04,990.84,958.47,419.2,1340.72,471.15,566.15,1528.86,1426.21,1909.49,1325.95,1337.04,1541.66,865.22,1700.62,1594.4,2457.41,1621.46
Countdown Pt Chevalier,1647.32,825.28,2107.39,1209.05,824.14,2040.41,2223.98,1566.83,973.89,535.76,398.32,1431.86,1107.83,2137.64,1398.71,2472.61,995.64,877.44,852.06,792.79,1844.11,1507.8,1615.02,1830.14,1880.27,2055.92,1337.83,2289.81,1619.8,624.74,669.29,1359.76,737.13,1198.11,1016.62,1097.51,1634.49,2669.07,1776.25,507.45,0,2541.97,1825.7,497.93,1548.6,1289.98,2340.64,1293.98,951.87,701.67,1091.72,792.47,1051.56,835.31,823.49,1398.13,1098.04,2159,1195.22,1586.55,1252.5,537.05,1950.13,1305.24,2706.92,1265.62
Countdown Roselands,1974.03,2552.13,2176.3,2964.49,2645.17,1699.71,3979.42,3322.27,2043.91,2672.17,2670.84,3187.3,3486.03,2218.03,3776.91,2268.3,3087.94,3255.64,2452.33,2776.9,3599.55,1642.93,1702.51,1326.92,1158.66,1082.01,2378.33,1910.56,3375.24,2448.82,2437.7,1832.55,2353.79,2953.55,3394.82,2124.04,2248.97,167.2,1462.63,2539.76,2674.12,0,2392.95,2753.13,3304.04,1762.77,330.56,3049.42,3330.08,3079.88,2288.47,2495.3,3429.76,2611.58,2711.02,1996.53,3149.13,2543.89,1826.68,1631.77,3630.7,2582.59,1161.53,3683.44,216.87,3056.03
Countdown St Johns,2356.85,1141.77,1146.78,1923.75,2258.91,1208.44,2938.68,2281.53,966.52,1631.44,1630.1,2146.56,2445.29,1177.03,2736.18,1511.99,2372.11,2214.91,2194.81,2159.68,2558.81,1597.82,2085.33,1428.89,1479.02,1988.26,470.15,1403.61,2334.5,1408.09,2080.11,585.93,1313.05,1912.81,2354.08,1283.26,774.37,2267.82,1375,1499.02,1633.38,2140.72,0,1712.39,2263.3,756.05,1939.4,2008.68,2289.34,2039.14,1510.18,1454.56,2389.02,1261.99,1670.28,1613.68,2474.51,1198.39,1614.18,1185.3,2589.96,1913.53,1548.88,2642.71,2305.67,2669.76
Countdown St Lukes,1447.51,999.07,2281.18,1296.83,817.93,2214.2,2311.75,1654.6,795.04,692.71,460.51,1519.64,1380.23,2311.43,1671.11,2646.4,1137.86,1149.84,753.84,826.82,1931.89,1307.99,1415.2,2003.93,1742.44,1856.1,1511.63,2463.6,1707.58,355.3,373.65,1533.55,739.14,1285.89,1289.02,897.7,1808.28,2575.33,1950.04,569.64,534.47,2448.23,1999.49,0,1636.38,1463.77,2246.91,1381.76,1224.28,974.08,520.97,829.4,1323.96,1009.1,997.29,1198.31,1240.26,2332.79,995.4,1760.34,1524.9,632.5,2123.92,1577.64,2613.18,1228.79
Countdown Sunnynook,2691.4,1296.09,2623.55,937.78,2123.95,2556.57,859.86,502.8,1490.05,1037.92,1202.33,817.84,1988.15,2653.8,993.78,2988.77,2351.21,1495.22,2059.85,2024.72,327.71,2551.88,2659.09,2346.3,2396.43,2905.67,1853.99,2805.97,543.2,1541.48,1945.16,1875.92,1253.29,683.41,1136.89,2141.59,2150.65,3185.23,2292.41,1216.79,1498.42,3058.13,2341.86,1577.43,0,1806.14,2856.8,679.96,1729.59,1582,1724.14,1172.86,1200.51,1150.82,999.83,2442.2,2294.79,2675.16,2239.29,2102.71,1870.28,1778.57,2466.29,1923.02,3223.08,2534.8
Countdown Sylvia Park,1701.91,1076.42,1213.9,1488.78,1823.94,1157.31,2503.71,1846.56,568.21,1196.47,1195.14,1711.6,2010.33,1244.15,2301.21,1579.11,1937.15,1779.94,1759.85,1724.71,2123.85,942.88,1430.39,773.95,824.08,1333.32,800.52,1406.71,1899.53,973.12,1645.15,207.41,878.09,1477.85,1919.12,879.5,741,1612.88,720.06,1064.05,1198.41,1485.78,767.81,1277.42,1828.34,0,1284.45,1573.72,1854.37,1604.17,1075.22,1019.6,1954.06,1135.88,1235.31,958.74,2039.55,1265.51,1554.56,530.36,2155,1478.56,893.94,2207.74,1650.73,2234.79
Countdown Takanini,1649.59,2227.69,2167.84,2640.05,2320.73,1783.97,3654.98,2997.83,1719.47,2347.74,2346.4,2862.86,3161.59,2198.09,3452.47,2304.85,2763.5,2931.2,2127.89,2452.46,3275.11,1318.49,1378.07,1002.48,834.22,908.52,2053.89,2063.15,3050.8,2124.39,2113.26,1508.11,2029.35,2629.11,3070.38,1799.6,1924.53,428.55,1138.19,2215.32,2349.68,311.88,2068.51,2428.69,2979.6,1438.33,0,2724.98,3005.64,2755.44,1964.03,2170.86,3105.32,2287.14,2386.58,1672.09,2824.69,2219.45,1502.24,1307.33,3306.26,2258.15,1140.16,3359,528.75,2731.59
Countdown Takapuna,2397.77,1002.47,2329.92,644.16,1830.32,2262.94,1416.42,759.27,1196.42,744.29,908.7,312.79,2016.7,2360.17,1390.33,2695.14,1943.53,1786.32,1766.23,1731.09,1036.56,2258.25,2365.46,2052.67,2102.8,2612.04,1560.37,2512.34,403.95,1247.85,1651.53,1582.29,959.66,458.12,1533.44,1847.96,1857.02,2891.6,1998.78,923.16,1204.79,2764.5,2048.23,1283.8,741.05,1512.51,2563.18,0,1860.75,1610.55,1430.51,879.23,1597.06,857.19,706.2,2148.57,2045.93,2381.53,1945.66,1809.08,2161.38,1484.94,2172.66,2214.12,2929.45,2241.17
Countdown Te Atatu,2054.42,1435.74,2717.85,1819.52,1486.96,2650.87,2372.66,2089.69,1584.35,1228.19,1071.67,2042.33,887.11,2748.1,1211.67,3083.07,1250.17,690.4,1422.87,1227.27,1961.7,1914.9,2022.11,2440.61,2349.35,2463.01,1948.3,2900.28,2230.26,1401.56,1308.17,1970.22,1347.6,1808.58,829.58,1504.6,2244.95,3279.53,2386.72,1180.8,915.5,3152.43,2436.17,1275.86,1837.32,1900.45,2951.11,1904.45,0,480.96,1498.81,1402.94,864.52,1445.77,1433.96,1805.22,1193.76,2769.46,1602.31,2197.02,1065.46,1066.97,2560.59,1118.2,3317.38,1696.68
Countdown Te Atatu South,1872.11,1253.44,2535.55,1637.21,1304.66,2468.57,2121.47,1838.5,1402.05,1045.88,889.36,1860.02,406.23,2565.8,960.48,2900.77,769.28,439.21,1240.57,1044.96,1710.52,1732.59,1839.8,2258.3,2167.05,2280.71,1765.99,2717.97,2085.63,1219.26,1125.87,1787.92,1165.29,1626.27,578.39,1322.3,2062.65,3097.23,2204.41,998.5,733.2,2970.13,2253.86,1093.55,1586.13,1718.14,2768.8,1722.14,473.69,0,1316.51,1220.63,613.33,1263.47,1251.66,1622.91,712.87,2587.16,1420,2014.71,658.11,884.66,2378.29,646.69,3135.08,1100.39
Countdown Three Kings,1097.28,1031.8,2043.61,1444.17,941.84,2267.58,2459.09,1801.94,656.98,1262.77,1106.26,1666.98,1665.08,2073.86,1955.96,2408.83,1384.6,1434.69,657.86,1073.56,2079.23,957.76,1064.97,1521.26,1392.22,1505.88,1191.58,2226.03,1854.91,548.2,493.94,1295.98,637.67,1433.23,1573.87,547.47,1570.71,2225.11,1427.83,1019.43,1186.54,2098.01,1541.53,540.13,1783.72,1226.2,1896.68,1529.1,1509.13,1258.93,0,974.98,1608.81,1091.26,1190.7,848.08,1445.79,2095.22,645.17,1251.78,1809.75,879.25,1724.99,1862.49,2262.96,1352.69
Countdown Victoria Street West,1927.99,288.95,1900.78,876.97,1360.54,1833.8,1891.9,1234.75,767.28,558.28,529.89,1099.79,1546.92,1931.03,1837.81,2266,1473.74,1316.54,1296.45,1261.31,1512.04,1788.47,1895.68,1623.53,1673.66,2182.9,1131.22,2083.2,1287.72,682.55,1181.75,1153.15,530.52,866.04,1455.72,1378.18,1427.88,2462.46,1569.64,401.25,735.01,2335.36,1619.09,814.02,1216.53,1083.37,2134.03,961.91,1390.97,1140.77,1001.37,0,1490.66,234.09,303.34,1678.79,1576.15,1952.39,1475.88,1379.94,1691.59,1015.16,1743.52,1744.34,2500.31,1771.39
Countdown Westgate,2180.43,1561.75,2843.86,1818.2,1612.97,2776.88,1751.01,1468.04,1710.36,1354.19,1197.68,1698.26,1073.76,2874.11,590.02,3209.08,1436.82,580.83,1548.88,1353.28,1340.05,2040.91,2148.12,2566.61,2475.36,2589.02,2074.31,3026.29,1715.17,1527.57,1434.18,2096.23,1473.6,1563.83,113.04,1630.61,2370.96,3405.54,2512.72,1306.81,1041.51,3278.44,2562.17,1401.86,1215.67,2026.45,3077.12,1560.38,815.2,667.61,1624.82,1528.95,0,1571.78,1559.97,1931.23,1380.4,2895.47,1728.32,2323.02,816.13,1192.98,2686.6,1008.63,3443.39,1822.69
Countdown Metro Albert Street,1970.65,145.27,1943.44,846.41,1403.19,1876.46,1861.33,1204.18,809.94,590.32,572.54,1069.22,1589.58,1973.69,1835.24,2308.66,1516.4,1359.19,1339.1,1303.96,1481.47,1831.13,1938.34,1666.19,1716.31,2225.55,1173.88,2125.86,1257.15,746.28,1224.4,1195.81,573.18,835.47,1498.37,1420.83,1470.54,2505.12,1612.3,443.9,777.67,2378.01,1301.9,856.68,1185.96,1126.03,2176.69,931.34,1433.63,1183.43,1044.03,204.23,1533.31,0,230.02,1721.45,1618.8,1995.05,1518.54,1422.6,1734.25,1057.82,1786.18,1786.99,2542.97,1814.05
Countdown Metro Halsey Street,2006.38,375.63,2092.42,722.17,1438.93,2025.44,1737.1,1079.95,958.92,466.08,573.57,944.99,1625.31,2122.67,1711.01,2457.64,1552.13,1394.93,1374.83,1339.7,1357.24,1866.86,1974.07,1815.17,1865.3,2374.54,1322.87,2274.84,1132.92,1010.35,1260.13,1344.79,722.16,711.24,1534.1,1456.57,1619.52,2654.1,1761.28,425.68,813.4,2527,1810.73,892.41,1061.72,1275.01,2325.68,807.1,1469.36,1219.16,1193.01,276.02,1569.04,230.35,0,1757.18,1654.54,2144.03,1554.27,1571.58,1769.98,1093.55,1935.16,1822.72,2691.95,1849.78
Distribution Centre Auckland,984.77,1883.99,1777.09,2177.23,1355.5,1562.11,3192.15,2535,1256.65,1676.44,1519.92,2400.04,2078.75,1807.34,2369.63,2053.21,1798.27,1848.36,1162.66,1487.23,2812.29,428.08,436.11,1131.88,1002.84,1116.5,1591.07,1811.51,2587.98,1406.39,1148.02,1045.29,1566.53,2166.29,1987.54,834.36,1304.19,1835.73,845.96,1629.06,1600.2,1708.63,1500.57,1393,2516.78,975.51,1507.31,2262.16,1922.79,1672.59,998.8,1851.19,2022.48,1894.03,1923.76,0,1859.46,1828.7,458.2,440.64,2223.42,1292.91,1335.61,2276.16,1873.58,1766.35
FreshChoice Glen Eden,2041.91,1739.28,3021.39,2123.05,696.75,2954.41,2838.21,2555.24,1887.89,1531.72,1375.2,2345.86,551.4,3051.64,1677.23,3386.61,186.4,948.04,939.28,599.04,2427.26,1902.38,2009.6,2465.88,2336.84,2450.5,2251.83,3203.81,2802.37,1546.22,1220.72,2273.76,1651.13,2112.11,1295.14,1492.09,2548.49,3169.73,2372.45,1484.34,1102.64,3042.63,2739.7,1279.75,2302.88,2203.98,2841.3,2207.98,1190.43,716.82,1486.3,1706.47,1330.07,1749.31,1737.49,1792.7,0,3073,1589.8,2196.4,1155.52,680.1,2669.61,859.22,3207.58,387.52
FreshChoice Half Moon Bay,2360.89,1963.1,325.76,2375.47,2710.62,807.8,3390.39,2733.24,1454.89,2083.15,2081.82,2598.28,2897.01,351.26,3187.89,604.8,2823.83,2666.62,2646.53,2611.39,3010.53,1815.26,2301.02,1673.74,1694.7,2203.95,1452.02,711.01,2786.21,1859.8,2531.83,1084.6,1764.77,2364.53,2805.8,1577.86,749.37,2483.51,1625.3,1950.73,2085.09,2356.41,1205,2164.1,2715.02,1253,2155.08,2460.4,2741.05,2490.85,1961.9,1906.28,2840.74,2022.56,2122,1787.54,2926.23,0,1908.78,1435.99,3041.68,2365.24,1433.86,3094.42,2521.36,3121.47
FreshChoice Mangere Bridge,725.89,1530.3,1904.51,1914.07,1001.8,1894.9,2929,2271.85,1093.01,1322.74,1166.22,2136.88,1725.05,1934.76,2015.93,2415.78,1444.57,1494.66,808.96,1133.53,2549.14,585.09,464.4,1148.58,1019.54,1133.2,1412.32,2174.08,2324.82,1052.69,794.33,1181.93,1442.15,1903.13,1633.84,480.67,1431.61,1852.43,1055.15,1275.36,1246.5,1725.33,1622.82,1039.3,2253.62,1681.22,1524.01,1999,1569.09,1318.89,645.1,1497.49,1668.78,1540.33,1528.52,436.43,1505.76,1956.12,0,840.13,1869.72,939.22,1352.31,1922.46,1890.28,1412.66
FreshChoice Otahuhu,1079.09,1331.71,1424.63,1744.07,1711.67,1103.09,2759,2101.85,823.5,1451.76,1450.43,1966.89,2265.62,1454.88,2556.5,1594.19,2192.44,2035.23,1518.83,1980,2379.14,412.51,701.81,719.73,769.85,1279.09,1157.92,1352.49,2154.82,1228.41,1504.2,612.14,1133.38,1733.14,2174.41,930.43,951.73,1558.66,545.68,1319.34,1453.7,1431.55,1172.54,1532.71,2083.63,542.36,1230.23,1829.01,2109.66,1859.46,1330.51,1274.89,2209.35,1391.17,1490.61,436.34,2294.84,1476.24,814.37,0,2410.29,1733.85,839.72,2463.03,1596.51,2122.53
FreshChoice Ranui,2395.68,1777.01,3059.12,2160.78,1828.23,2992.14,2394.6,2111.63,1925.62,1569.45,1412.94,2341.85,656.18,3089.37,1233.61,3424.34,1261.81,435.01,1764.14,1568.54,1983.64,2256.16,2363.37,2781.87,2690.62,2804.28,2289.56,3241.54,2358.76,1742.83,1649.44,2311.49,1688.86,2207.43,851.52,1845.87,2586.22,3620.8,2727.98,1522.07,1256.77,3493.7,2777.43,1617.12,1859.26,2241.71,3292.37,2203.97,1030.46,652.11,1840.08,1744.2,886.46,1787.04,1775.23,2146.48,1165.01,3110.73,1943.57,2538.28,0,1408.23,2901.86,453.88,3658.65,1489.65
SuperValue Avondale,1420.48,1176.25,2458.36,1560.03,377.19,2391.39,2574.96,1917.81,1324.87,968.7,812.18,1782.84,993.23,2488.62,1613.22,2823.58,571.33,1091.95,491,260.29,2363.25,1280.96,1388.17,1844.45,1715.42,1829.07,1688.81,2640.79,1970.78,906.47,580.97,1710.74,1088.11,1549.09,1231.13,870.67,1985.47,2548.3,1751.03,921.31,539.62,2421.2,2176.68,639.99,1899.58,1640.96,2219.88,1644.96,1166.38,916.18,864.88,1143.45,1266.07,1186.29,1174.47,1171.28,673.73,2509.98,968.37,1574.98,1467.01,0,2048.18,1519.75,2586.15,741.61
SuperValue Flatbush,1337.59,1771.4,1099.34,2183.77,2008.74,622.75,3198.7,2541.54,1263.19,1891.45,1890.12,2406.58,2705.31,1141.07,2996.19,1143.63,2451.5,2474.92,1815.89,2140.46,2818.83,1006.49,1066.07,339.08,409.43,969,1597.61,901.93,2594.52,1668.1,1801.26,1051.83,1573.07,2172.83,2614.1,1487.6,1214.08,1282.22,503.59,1759.04,1893.4,1155.12,1612.23,1972.4,2523.32,982.05,953.8,2268.7,2549.35,2299.16,1652.03,1714.58,2649.04,1830.86,1930.3,1360.09,2512.7,1379.19,1190.24,851.04,2849.98,1946.15,0,2902.72,1320.07,2419.59
SuperValue Palomino,2500.64,1881.96,3164.08,2265.74,1540.88,3097.1,2499.56,2216.59,2030.58,1674.41,1517.89,2446.8,418.3,3194.33,1338.57,3529.3,985.43,539.97,1869.1,1228.63,2088.6,2361.12,2468.33,2886.83,2795.57,2909.23,2394.52,3346.5,2463.71,1847.78,1754.4,2416.45,1793.82,2312.38,956.48,1950.83,2691.18,3725.76,2832.94,1627.03,1361.73,3598.66,2882.39,1722.08,1964.22,2346.67,3397.33,2308.92,1135.42,694.72,1945.04,1849.16,991.42,1892,1880.18,2251.44,844.13,3215.69,2048.53,2643.24,491.71,1336.83,3006.82,0,3763.61,1136.82
SuperValue Papakura,1980.76,2558.86,2499.02,2971.23,2651.91,2115.15,3986.15,3329,2050.65,2678.91,2677.58,3194.04,3492.77,2529.27,3783.65,2636.02,3094.68,3262.38,2459.07,2783.64,3606.29,1649.66,1709.24,1333.66,1165.39,1612.17,2385.07,2394.32,3381.97,2455.56,2444.43,1839.29,2360.53,2960.29,3401.56,2130.77,2255.71,201.8,1469.36,2546.49,2680.85,213.24,2399.69,2759.86,3310.78,1769.51,543.81,3056.16,3336.81,3086.61,2295.21,2502.04,3436.5,2618.32,2717.76,2003.27,3155.87,2550.63,1833.42,1638.5,3637.44,2589.32,1471.33,3690.18,0,3062.76
SuperValue Titirangi,1919.72,1837.11,3119.22,2220.88,553.79,3090.01,3235.81,2578.66,1985.72,1629.56,1473.04,2443.7,921.13,3149.47,2122.91,3484.44,444.82,1317.77,817.09,608.17,2872.94,1780.2,1887.41,2343.69,2214.65,2328.31,2349.67,3301.65,2631.63,1533.06,1133.86,2371.59,1748.96,2209.95,1740.81,1369.91,2646.32,3047.54,2250.26,1582.17,1262.75,2920.44,2837.53,1253.75,2560.44,2301.82,2719.12,2305.82,1676.07,1086.54,1364.11,1804.31,1775.75,1847.14,1835.33,1670.52,369.73,3170.83,1467.61,2074.22,1510.99,756.29,2547.42,1163.58,3085.39,0
