,Countdown Airport,Countdown Auckland City,Countdown Aviemore Drive,Countdown Birkenhead,Countdown Blockhouse Bay,Countdown Botany Downs,Countdown Browns Bay,Countdown Glenfield,Countdown Greenlane,Countdown Grey Lynn,Countdown Grey Lynn Central,Countdown Hauraki Corner,Countdown Henderson,Countdown Highland Park,Countdown Hobsonville,Countdown Howick,Countdown Kelston,Countdown Lincoln Road,Countdown Lynfield,Countdown Lynmall,Countdown Mairangi Bay,Countdown Mangere East,Countdown Mangere Mall,Countdown Manukau,Countdown Manukau Mall,Countdown Manurewa,Countdown Meadowbank,Countdown Meadowlands,Countdown Milford,Countdown Mt Eden,Countdown Mt Roskill,Countdown Mt Wellington,Countdown Newmarket,Countdown Northcote,Countdown Northwest,Countdown Onehunga,Countdown Pakuranga,Countdown Papakura,Countdown Papatoetoe,Countdown Ponsonby,Countdown Pt Chevalier,Countdown Roselands,Countdown St Johns,Countdown St Lukes,Countdown Sunnynook,Countdown Sylvia Park,Countdown Takanini,Countdown Takapuna,Countdown Te Atatu,Countdown Te Atatu South,Countdown Three Kings,Countdown Victoria Street West,Countdown Westgate,Countdown Metro Albert Street,Countdown Metro Halsey Street,Distribution Centre Auckland,FreshChoice Glen Eden,FreshChoice Half Moon Bay,FreshChoice Mangere Bridge,FreshChoice Otahuhu,FreshChoice Ranui,SuperValue Avondale,SuperValue Flatbush,SuperValue Palomino,SuperValue Papakura,SuperValue Titirangi
Countdown Papakura,26235.49,34365.43,28341.58,41151.37,35865.27,23515.75,53316.01,46411.44,28295.93,36348.21,36374.38,42435.16,46343.18,28461.54,53581.41,28688.24,38861.26,46123.81,32582.39,36560.4,49856.34,21178.73,21929.54,14174.68,13499.78,18610.38,30628.75,26501.53,44892.5,32852.28,32169.4,23519.94,33108.22,41046.6,49167.88,27952.41,26710.16,0,18137.38,34937.12,37335.52,1212.53,27854,37849.66,45717.52,22976.57,2948.43,41760.79,44921.82,43729.02,30492.51,34001.55,48930.96,34988.48,38023.52,25400.74,41333.48,30032.06,24676.43,21257.84,48806.68,35129,15868.65,50018.25,1556.77,41060.73
Countdown Papatoetoe,13410.62,19502.41,12309.86,26288.35,23040.39,8303.66,38452.98,31548.42,13432.91,21485.18,21511.35,27572.14,31480.15,13598.52,38718.38,13476.14,29089.42,31260.79,19757.52,23735.53,34993.31,5427.67,9104.66,3067.7,3390.45,7618.93,15765.73,11289.43,30029.48,17989.25,19344.53,8656.92,18245.19,26183.57,34304.85,15127.54,11847.14,18143.01,0,20074.09,22472.49,15349.07,12990.98,22986.63,30854.49,8113.54,13240.27,26897.76,30058.79,28865.99,17667.64,19138.52,34067.93,20125.46,23160.5,6955.79,31488.47,15169.04,11851.55,6394.81,33943.66,26056.34,4124.44,35155.22,18248.33,28235.85
Countdown Ponsonby,23694.59,7972.19,19395.34,8988.56,12732.31,19328.83,21153.19,14248.63,7517.25,2061.86,1203.05,10272.35,13136.39,19515.3,24041.46,23288.95,10745.66,12917.02,12003.13,9353.27,17693.52,22084.23,22988.12,21315.59,22214.13,28129.95,10998.28,22249.2,12729.69,3579.22,7158.05,13012.55,4566.32,8883.79,15961.09,15458.01,15440.84,34034.32,19134.23,0,3960.14,31240.38,17647.74,4663.55,13554.7,12469.18,29131.58,9597.97,11715.03,10522.22,9077.92,2475.48,15724.17,2837.93,5860.71,19274.53,13144.71,21085.83,17096.47,16479.96,15599.89,7712.58,22567.81,16811.46,34139.64,17927.77
Countdown Pt Chevalier,22712.33,7607.97,22334.22,13124.76,7010.72,22267.71,25289.4,18384.83,10456.12,4564.71,3010.48,14408.55,9538.84,22454.18,16777.07,26227.83,7166.64,9319.47,7547.94,5671.75,21829.73,21101.97,22005.85,24254.47,25153.01,27070.03,13937.16,25188.08,16865.9,5162.4,5014.19,15951.43,7505.2,13019.99,12363.54,14475.74,18379.72,36973.2,22073.11,3969.66,0,34179.26,20586.62,3674.47,17690.91,15408.05,32070.45,13734.18,8117.48,6924.68,13219.62,7259.55,12126.62,6965.47,6759.15,18292.27,9565.69,24024.71,16114.2,19418.84,12002.35,4133.56,25506.69,13213.91,37078.52,9943.19
Countdown Roselands,26403.35,34533.3,22357.3,41319.23,36033.13,18351.1,53483.87,46579.3,28463.79,36516.07,36542.24,42603.02,46511.04,22564.77,53749.27,26915.14,39029.12,46291.68,32750.26,36728.27,50024.2,21346.59,22097.4,14342.54,13667.64,10733.37,30796.62,20860.12,45060.37,33020.14,32337.27,23687.81,33276.08,41214.46,49335.74,28120.27,26878.03,1341.93,18305.24,35104.98,37503.38,0,28021.87,38017.52,45885.38,23144.43,2322.81,41928.65,45089.68,43896.88,30660.38,34169.41,49098.82,35156.34,38191.39,25568.61,41501.34,30199.93,24844.29,21425.7,48974.55,35296.86,13015.78,50186.11,1952.37,41228.59
Countdown St Johns,29127.54,9660.77,8659.4,19913.17,24700.9,9346.17,32077.81,25173.24,7055.9,15110.01,15136.17,21196.96,25104.98,8779.36,32343.2,12553.01,22714.25,24885.61,23971.72,21321.86,28618.13,12994.56,24821.59,14688.07,15586.61,21502.43,4033.37,11842.67,23654.3,11614.08,22413.54,4502.82,11870.02,19808.4,27929.68,10961.47,5286.15,27406.8,12506.71,13698.91,16097.31,24612.86,0,16611.46,24479.32,5427.68,22504.06,20522.59,23683.62,22490.81,12950.32,12763.35,27692.76,10322.71,16785.32,13224,25113.3,10349.89,13805.17,9852.44,27568.48,19681.17,15940.29,28780.04,27512.13,29896.36
Countdown St Lukes,18538.06,9216.06,23942.31,12663.89,7271.75,23875.8,24828.52,17923.96,6540.13,6081.74,3996.88,13947.68,12835.36,24062.27,20073.58,27835.91,9470.11,12615.99,6542.57,7169.26,21368.85,16927.71,17831.59,25862.56,23097.4,22895.76,15545.25,26796.17,16405.02,2605.94,2977.24,17559.52,5803.58,12559.12,15660.06,10301.48,19987.81,35350.93,23681.19,4956.06,3843.22,32556.99,22194.71,0,17230.03,17016.14,30448.19,13273.3,11414,10221.19,5056.48,5758.45,15423.14,8573.56,8367.23,14118,11869.16,25632.79,11939.94,21026.93,15298.86,5737.85,27114.78,16510.42,35456.26,12467.21
Countdown Sunnynook,37900.16,13987.97,31157.63,10249.45,26937.87,31091.12,6756.63,3917.97,19279.53,12991.56,14205.72,7568.2,24778.26,31277.59,11554.37,35051.23,29170.31,20254.47,26208.69,23558.83,3248.18,36289.8,37193.68,33077.88,33976.42,39892.24,22760.57,34011.49,4805.14,18865.27,24650.51,24774.84,16328.61,6202.75,15713.5,29663.57,27203.13,45796.61,30896.51,14334.69,18334.29,43002.67,29410.03,18848.43,0,24231.46,40893.86,6893.82,22768.09,22164.1,20840.21,13384.28,16054.29,13211.68,12450.11,33480.1,28053.02,32848.11,31302.03,28242.25,22937.34,21918.14,34330.1,24148.91,45901.93,32133.33
Countdown Sylvia Park,24193.49,12607.77,8970.46,19393.71,24181.43,11548.07,31558.34,24653.78,6538.27,14590.54,14616.71,20677.5,24585.51,9090.42,31823.74,12864.07,22194.78,24366.15,23452.26,20802.39,28098.67,8060.5,19887.54,9754.02,10652.56,16568.38,7708.41,14468.44,23134.84,11094.61,21894.08,1124.58,11350.55,19288.93,27410.21,8824.52,5015.96,22472.74,7572.65,13179.45,15577.85,19678.81,5458.64,16091.99,23959.85,0,17570,20003.12,23164.15,21971.35,12430.86,12243.88,27173.29,13230.82,16265.86,8289.94,24593.83,10660.94,22634.42,4918.39,27049.02,19161.7,11006.24,28260.58,22578.07,29376.9
Countdown Takanini,21226.95,29356.89,23333.04,36142.83,30856.73,18507.21,48307.47,41402.9,23287.39,31339.67,31365.84,37426.62,41334.64,23453,48572.87,23679.7,33852.72,41115.27,27573.85,31551.86,44847.8,16170.19,16921,9166.14,8491.24,7461.46,25620.21,21492.99,39883.96,27843.74,27160.86,18511.4,28099.68,36038.06,44159.34,22943.87,21701.63,3004.2,13128.84,29928.58,32326.97,2626.17,22845.46,32841.12,40708.98,17968.03,0,36752.25,39913.28,38720.48,25483.97,28993.01,43922.42,29979.94,33014.98,20392.21,36324.94,25023.53,19667.89,16249.3,43798.14,30120.46,10860.11,45009.71,4578.59,36052.19
Countdown Takapuna,33377.67,9465.49,26635.15,5726.97,22415.39,26568.63,14517.24,7612.68,14757.05,8469.08,9683.24,2074.75,22819.47,26755.11,17405.51,30528.75,20428.74,22600.1,21686.21,19036.35,11057.57,31767.31,32671.19,28555.39,29453.93,35369.76,18238.08,29489.01,3230.53,14342.79,20128.03,20252.36,11806.12,3471.23,21564.65,25141.09,22680.64,41274.12,26374.03,9812.2,13811.8,38480.18,24887.55,14325.95,6918.75,19708.98,36371.38,0,21398.11,20205.3,16317.72,8861.79,21905.43,8689.2,7927.63,28957.61,22827.79,28325.63,26779.55,23719.77,25282.97,17395.66,29807.61,26494.54,41379.45,27610.85
Countdown Te Atatu,26489.92,15355.84,30082.09,20872.64,15527.63,30015.58,27990.4,26947.03,18204,11994.39,10895.17,22156.43,5686.04,30202.05,12903.14,33975.7,10078.09,5445.54,14798.46,10202.73,24541.62,24879.56,25783.44,32002.34,31049.25,30847.62,21685.03,32935.95,24613.77,14157.1,13240.28,23699.3,15253.07,20767.87,8489.61,18253.33,26127.59,44721.07,29820.98,11854.35,8129.59,41927.13,28334.5,12069.23,23595.92,23155.93,39818.33,21482.05,0,3071.88,16997.21,15007.42,8252.69,14713.34,14507.02,22069.86,8960.81,31772.58,19891.79,27166.71,8128.42,8764.55,33254.56,9339.98,44826.39,14142.05
Countdown Te Atatu South,25727.72,14593.65,29319.9,20110.44,14765.44,29253.39,26600.38,25557,17441.8,11232.2,10132.98,21394.23,2614.58,29439.86,11513.11,33213.51,7006.63,4055.52,14036.26,9440.54,23151.59,24117.37,25021.25,31240.15,30287.06,30085.43,20922.84,32173.76,27837.92,13394.9,12478.08,22937.11,14490.88,20005.67,7099.58,17491.14,25365.4,43958.88,29058.79,11092.16,7367.4,41164.94,27572.3,11307.04,22205.89,22393.73,39056.13,20719.86,2841.78,0,16235.02,14245.23,6862.66,13951.15,13744.83,21307.67,5889.34,31010.38,19129.6,26404.52,4910.55,8002.36,32492.37,5516.53,44064.2,9436.13
Countdown Three Kings,13283.6,9080.09,20388.81,15866.03,9368.89,25794.03,28030.66,21126.1,6324.22,14672.33,13573.12,17149.82,18330.47,20508.77,25568.7,24282.42,12364.88,18111.11,6443.37,10064.03,24570.99,11673.24,12577.12,18674.16,17842.93,17641.3,9863.19,23242.67,19607.16,4705.03,3299.44,14006.02,5878.21,15761.25,21155.17,5047.01,16434.31,30096.47,17407.45,9651.77,14050.58,27302.53,11983.31,5175.5,20432.17,13462.64,25193.72,16475.44,16909.11,15716.31,0,8716.2,20918.25,9703.14,12738.18,8863.54,14837.1,22079.29,6685.47,12446.9,20793.98,8632.62,20448.7,22005.54,30201.79,14564.35
Countdown Victoria Street West,26352.22,1486.31,19595.71,8525.46,15389.94,19529.2,20690.1,13785.53,7717.62,3677.82,3675.81,9809.25,15794.02,19715.67,23032.25,23489.32,13403.29,15574.65,14660.76,12010.9,17230.43,24741.87,25645.75,21515.96,22414.5,28330.32,11198.65,22449.57,12266.6,4192.77,13102.58,13212.92,4766.69,8420.69,18618.72,18115.64,15641.21,34234.69,19334.6,2472.76,6786.35,31440.75,17848.12,7300.5,13091.61,12669.55,29331.95,9134.88,14372.66,13179.86,9278.29,0,18381.8,1179.25,1718.04,21932.16,15802.34,21286.2,19754.1,16680.33,18257.53,10370.21,22768.18,19469.09,34340.01,20585.4
Countdown Westgate,30498.52,19364.44,34090.7,24853.09,19536.24,34024.18,20501.8,19458.43,22212.6,16002.99,14903.77,22171.84,9760.48,34210.66,5414.54,37984.3,14152.53,5236.69,18807.06,14211.33,17053.02,28888.16,29792.04,36010.95,35057.85,34856.22,25693.63,36944.55,21739.35,18165.7,17248.88,27707.9,19261.67,20806.39,619.2,22261.93,30136.2,48729.67,33829.58,15862.95,12138.19,45935.73,32343.1,16077.83,16107.32,27164.53,43826.93,21497.46,7750.31,7146.32,21005.81,19016.02,0,18721.95,18515.62,26078.46,13035.24,35781.18,23900.39,31175.31,7472.22,12773.15,37263.16,9131.13,48835,18150.65
Countdown Metro Albert Street,26598.54,776.29,19842.03,8199.06,15636.26,19775.52,20363.7,13459.13,7963.94,3918.71,3922.13,9482.85,16040.34,19961.99,23251.96,23735.64,13649.61,15820.97,14907.08,12257.22,16904.02,24988.19,25892.07,21762.28,22660.82,28576.64,11444.97,22695.89,11940.19,4646.92,13348.9,13459.24,5013.01,8094.29,18865.04,18361.96,15887.53,34481.01,19580.92,2719.08,7032.67,31687.07,10362.75,7546.82,12765.21,12915.87,29578.27,8808.47,14618.98,13426.18,9524.61,1066.15,18628.12,0,1275.35,22178.49,16048.66,21532.52,20000.42,16926.65,18503.85,10616.53,23014.5,19715.41,34586.33,20831.72
Countdown Metro Halsey Street,26581.64,2039.94,23039.11,7459.44,15619.36,22972.6,19624.08,12719.51,11161.01,3179.09,4229.12,8743.23,16023.44,23159.07,22512.34,26932.71,13632.71,15804.08,14890.18,12240.32,16164.4,24971.29,25875.17,24959.36,25857.89,31773.72,14642.05,25892.97,11200.57,10746.75,13332,16656.32,8210.09,7354.67,18848.14,18345.06,19084.61,37678.09,22777.99,2714.29,7015.78,34884.15,21291.51,7529.92,12025.58,16112.94,32775.34,8068.85,14602.08,13409.28,12721.69,1526.4,18611.22,1263.65,0,22161.59,16031.76,24729.59,19983.52,20123.73,18486.95,10599.63,26211.58,19698.51,37783.41,20814.82
Distribution Centre Auckland,10829.63,23803.93,14033.39,26303.28,15139.04,13486.94,38467.91,31563.35,13447.84,20442.48,19343.26,27587.07,24100.62,14153.35,31338.84,18594.02,18135.03,23881.25,11856.16,15834.17,35008.24,4351.88,3388.03,12634.29,11803.06,11601.42,15780.66,16407.31,30044.41,14039.42,11443.17,8671.85,18260.12,26198.51,26925.32,7226.18,10078.89,24056.59,6897.4,20302.44,19820.73,21262.65,12302.82,15262.67,30869.42,8128.47,19153.85,26912.69,22679.26,21486.46,9766.28,23455.51,26688.4,23161.44,23175.43,0,20607.25,15723.87,3494.47,3713.45,26564.12,14402.77,14408.83,27775.69,24161.91,20334.5
FreshChoice Glen Eden,23626.67,17648.93,32375.18,23165.72,6554.29,32308.67,32540.24,31496.86,20497.08,14287.48,13188.26,24449.51,4679.18,32495.14,17452.97,36268.79,1146.6,7688.56,8198.76,3835.92,29091.45,22016.31,22920.2,29017.24,28186.01,27984.37,23978.12,35229.04,33777.78,14100.19,10714.09,25992.39,17546.16,23060.95,13039.44,15390.09,28420.68,40439.54,27750.52,14147.44,9581.28,37645.61,30627.58,11620.71,28145.75,25449.01,35536.8,23775.14,8781.64,5940.28,14133.96,17300.51,12802.53,17006.43,16800.11,19206.62,0,34065.66,17028.55,22789.98,9379.38,6384,30791.78,6417.13,40544.87,3546.78
FreshChoice Half Moon Bay,23811.23,21098.69,2762.28,27884.63,32672.36,6807.88,40049.27,33144.7,15029.19,23081.47,23107.63,29168.42,33076.44,2866.47,40314.66,5360.37,30685.71,32857.07,31943.18,29293.32,36589.59,15654.32,27132.59,14353.17,17897.61,23813.44,13089.07,6815.04,31625.76,19585.54,30385,9331.59,19841.47,27779.86,35901.14,14369.4,6068.08,29717.8,13968.94,21670.37,24068.77,26923.86,10358.42,24582.92,32450.78,10237.51,24815.06,28494.04,31655.08,30462.27,20921.78,20734.81,35664.22,21721.74,24756.78,15685.89,33084.75,0,17213.11,12610.98,35539.94,27652.63,12489.75,36751.5,29823.13,37867.82
FreshChoice Mangere Bridge,7108.2,20489.1,15960.64,26005.89,11824.2,20297.33,38170.53,31265.97,10301.56,17127.65,16028.43,27289.69,20785.79,16080.6,28024.01,25469.82,14820.2,20566.42,8541.33,12519.34,34710.86,6176.55,3884.23,13177.47,12346.24,12144.61,12769.62,23283.11,29747.03,10724.59,8128.34,10281.51,20386.33,25901.13,23610.49,3911.35,12006.14,24599.78,11910.75,16987.61,16505.9,21805.84,14213.04,11947.84,30572.04,22865.46,19697.03,26615.31,19364.43,18171.62,6451.45,20140.68,23373.57,19846.6,19640.28,3380.93,17292.42,17651.12,0,6964.3,23249.29,11087.94,14952.01,24460.86,24705.1,17019.67
FreshChoice Otahuhu,10502.83,16077.31,10995.64,22863.25,18466.83,10143.46,35027.89,28123.32,10007.81,18060.09,18086.25,24147.04,28055.06,11115.6,35293.28,15250.54,25664.33,27835.69,15183.96,24271.94,31568.21,3142.11,5708.56,8349.41,9247.95,15163.77,12340.63,13063.83,26604.38,14564.16,14770.97,5231.82,14820.09,22758.48,30879.76,7421.99,7041.14,21068.13,3710.61,16648.99,19047.39,18274.2,9565.88,19561.54,27429.39,4688.45,16165.39,23472.66,26633.7,25440.89,15900.4,15713.43,30642.84,16700.36,19735.4,3661.84,28063.38,12686.12,6822.26,0,30518.56,22631.24,9601.63,31730.13,21173.46,23662.29
FreshChoice Ranui,30474.63,19340.56,34066.81,24857.35,19512.35,34000.3,27429.22,26385.84,22188.71,15979.11,14879.89,29099.25,4395.23,34186.77,12341.95,37960.42,8837.24,3146.27,18783.17,14187.44,23980.43,28864.28,29768.16,35987.06,35033.97,34832.33,25669.75,36920.67,28666.76,18141.81,17224.99,27684.02,19237.79,27733.8,7928.42,22238.05,30112.31,48705.79,33805.7,15839.07,12114.31,45911.85,32319.21,16053.95,23034.73,27140.64,43803.04,28424.88,7726.42,4912.43,20981.93,18992.14,7691.51,18698.06,18491.74,26054.57,8836.47,35757.29,23876.51,31151.43,0,12749.27,37239.28,3250.84,48811.11,15292.54
SuperValue Avondale,17946.89,12222.41,26948.66,17739.2,3234.5,26882.15,29903.84,22999.27,15070.56,8860.95,7761.73,19022.99,8622.35,27068.62,19159.64,30842.26,4000.46,11702.04,4636.07,1699.6,30798.12,16336.53,17240.41,23337.46,22506.23,22304.59,18551.6,29802.52,21480.33,7891.04,4504.94,20565.87,12119.63,17634.43,14746.11,9710.31,22994.16,34759.76,22070.74,8720.91,4154.76,31965.82,25201.06,5411.56,22305.35,20022.49,29857.02,18348.62,10500.05,9307.25,8454.18,11873.98,14509.19,11579.91,11373.58,13526.83,6399.51,28639.14,11348.77,17110.2,14384.92,0,25112,15596.48,34865.09,7961.2
SuperValue Flatbush,16893.51,22608.09,9822.76,29394.02,26523.29,5816.55,41558.66,34654.09,16538.58,24590.86,24617.03,30677.81,34585.83,10030.22,41824.06,10989.04,29519.28,34366.46,23240.41,27218.42,38098.99,11836.75,12587.56,2405.32,2929.96,9268.4,18871.41,8802.33,33135.16,21094.93,22827.42,11762.6,21350.87,29289.25,37410.53,18610.43,10040.77,15177.8,4192.12,23179.77,25578.17,12383.86,16096.66,26092.31,33960.17,11219.22,10275.06,30003.44,33164.47,31971.67,21150.54,22244.2,37173.61,23231.13,26266.18,16058.76,31991.5,12522.17,15334.45,9500.49,37049.34,25787.02,0,38260.9,15283.13,31718.75
SuperValue Palomino,31962.32,20828.25,35554.5,26345.04,12833.79,35487.99,28916.91,27873.53,23676.4,17466.8,16367.58,30586.94,3070.61,35674.46,13829.64,39448.11,7696.2,4633.96,20270.86,10767.04,25468.13,30351.96,31255.85,37474.75,36521.66,36320.02,27157.44,38408.36,30154.45,19629.5,18712.68,29171.71,20725.48,29221.49,9416.12,23725.74,31600,50193.48,35293.39,17326.76,13602,47399.54,33806.9,17541.64,24522.42,28628.33,45290.73,29912.57,9214.11,4984.64,22469.62,20479.83,9179.2,20185.75,19979.43,27542.27,6279.5,37244.98,25364.2,32639.12,3515.93,11623.1,38726.97,0,50298.8,10201.58
SuperValue Papakura,26296.36,34426.3,28402.45,41212.24,35926.13,23576.62,53376.88,46472.31,28356.8,36409.07,36435.24,42496.03,46404.04,28522.41,53642.27,28749.1,38922.13,46184.68,32643.26,36621.27,49917.2,21239.6,21990.4,14235.54,13560.64,18671.25,30689.62,26562.39,44953.37,32913.14,32230.27,23580.81,33169.08,41107.46,49228.74,28013.28,26771.03,1435.19,18198.25,34997.98,37396.38,1857.93,27914.87,37910.53,45778.38,23037.43,4180.79,41821.65,44982.68,43789.88,30553.38,34062.41,48991.82,35049.35,38084.39,25461.61,41394.34,30092.93,24737.29,21318.7,48867.55,35189.87,15929.52,50079.11,0,41121.59
SuperValue Titirangi,23925.02,21429.88,36156.13,26946.67,5100.39,36435.44,39111.31,32206.74,24278.03,18068.43,16969.21,28230.46,8202.14,36276.09,22647.53,40049.73,3843.51,11211.53,8497.1,5428.93,34286.02,22314.66,23218.54,29315.58,28484.35,28282.71,27759.07,39009.99,30687.8,14097.68,10685.62,29773.34,21327.11,26841.9,18234.01,15688.43,32201.63,40737.88,28048.86,17928.38,10026.76,37943.95,34408.53,12539.88,31512.82,29229.96,35835.14,27556.09,13987.95,9463.24,14432.31,21081.46,17997.09,20787.38,20581.05,19504.96,3522.96,37846.61,17326.89,23088.32,15291.52,7971.35,31090.12,10328.6,40843.21,0
